id,room_id,user_id,message,timestamp
1,688,582,"Aw, c'mon Rick. That doesn't seem so bad.",1632840291029
2,517,288,Keep Summer safe.,1632840291031
3,319,34,I'm the devil. What should I do when I fail? Give myself an ice cream?,1632840291032
4,651,687,"Sometimes science is a lot more art, than science. A lot of people don't get that.",1632840291033
5,726,218,"Sometimes science is a lot more art, than science. A lot of people don't get that.",1632840291034
6,549,439,He's not a hot girl. He can't just bail on his life and set up shop in someone else's.,1632840291035
7,387,461,So what if the most meaningful day in your life was a simulation operating at minimum complexity.,1632840291036
8,2,144,"Ohh yea, you gotta get schwifty.",1632840291037
9,350,580,"Hello Jerry, come to rub my face in urine again?",1632840291037
10,905,753,I'm more than just a hammer.,1632840291038
11,453,783,"What about the reality where Hitler cured cancer, Morty? The answer is: Don't think about it.",1632840291039
12,840,607,Get off the high road Summer. We all got pink eye because you wouldn't stop texting on the toilet.,1632840291040
13,406,18,WUBBA LUBBA DUB DUBS!!!,1632840291041
14,758,936,"Meeseeks are not born into this world fumbling for meaning, Jerry! We are created to serve a single purpose, for which we go to any lengths to fulfill.",1632840291041
15,258,196,"What about the reality where Hitler cured cancer, Morty? The answer is: Don't think about it.",1632840291042
16,126,613,"I hate to break it to you, but what people call 'love' is just a chemical reaction that compels animals to breed. It hits hard Morty then it slowly fades leaving you stranded in a failing marriage. I did it. Your parents are going to do it. Break the cycle Morty, rise above, focus on science.",1632840291043
17,398,390,HI! I'M MR MEESEEKS! LOOK AT ME!,1632840291044
18,456,224,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain.",1632840291044
19,643,670,"Traditionally, science fairs are a father/son thing. Well, scientifically, traditions are an idiot thing.",1632840291045
20,992,544,Nobody exists on purpose. Nobody belongs anywhere. Everybody is going to die.,1632840291046
21,221,19,Yo! What up my glip glops!,1632840291047
22,746,342,"What about the reality where Hitler cured cancer, Morty? The answer is: Don't think about it.",1632840291047
23,861,142,WUBBA LUBBA DUB DUBS!!!,1632840291048
24,575,974,"It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal.",1632840291049
25,866,825,"Little tip, Morty. Never clean DNA vials with your spit.",1632840291050
26,704,708,"I hate to break it to you, but what people call 'love' is just a chemical reaction that compels animals to breed. It hits hard Morty then it slowly fades leaving you stranded in a failing marriage. I did it. Your parents are going to do it. Break the cycle Morty, rise above, focus on science.",1632840291051
27,937,754,"What about the reality where Hitler cured cancer, Morty? The answer is: Don't think about it.",1632840291051
28,655,922,Nobody exists on purpose. Nobody belongs anywhere. Everybody is going to die.,1632840291052
29,350,693,"Meeseeks are not born into this world fumbling for meaning, Jerry! We are created to serve a single purpose, for which we go to any lengths to fulfill.",1632840291053
30,987,476,"You're like Hitler, except...Hitler cared about Germany, or something.",1632840291054
31,872,244,"Oh yeah, If you think my Rick is Dead, then he is alive. If you think you're safe, then he's coming for you.",1632840291055
32,279,534,Don’t even trip dawg.,1632840291056
33,666,729,Keep Summer safe.,1632840291057
34,530,66,"Where are my testicles, Summer?",1632840291058
35,262,484,That just sounds like slavery with extra steps.,1632840291059
36,684,360,Having a family doesn't mean that you stop being an individual.,1632840291060
37,231,225,Nobody exists on purpose. Nobody belongs anywhere. Everybody is going to die.,1632840291060
38,701,796,HI! I'M MR MEESEEKS! LOOK AT ME!,1632840291061
39,444,705,Get off the high road Summer. We all got pink eye because you wouldn't stop texting on the toilet.,1632840291062
40,753,754,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white.",1632840291063
41,444,973,So what if the most meaningful day in your life was a simulation operating at minimum complexity.,1632840291063
42,368,84,So what if the most meaningful day in your life was a simulation operating at minimum complexity.,1632840291064
43,267,538,"Ohh yea, you gotta get schwifty.",1632840291065
44,106,45,So what if the most meaningful day in your life was a simulation operating at minimum complexity.,1632840291066
45,293,787,"The first rule of space travel kids is always check out distress beacons. Nine out of ten times it's a ship full of dead aliens and a bunch of free shit! One out of ten times it's a deadly trap, but... I'm ready to roll those dice!",1632840291067
46,884,203,"Meeseeks are not born into this world fumbling for meaning, Jerry! We are created to serve a single purpose, for which we go to any lengths to fulfill.",1632840291067
47,847,709,"You're like Hitler, except...Hitler cared about Germany, or something.",1632840291068
48,711,775,Having a family doesn't mean that you stop being an individual.,1632840291069
49,730,632,WUBBA LUBBA DUB DUBS!!!,1632840291069
50,465,346,"Hello Jerry, come to rub my face in urine again?",1632840291070
51,123,437,"Let me out, what you see is not the same person as me. My life's a lie. I'm not who you're looking. Let me out. Set me free. I'm really old. This isn't me. My real body is slowly dieing in a vat. Is anybody listening? Can anyone understand? Stop looking at me like that and actually help me. Help me. Help me I'm gunna die.",1632840291071
52,501,630,Pluto's a planet.,1632840291072
53,229,399,"You're like Hitler, except...Hitler cared about Germany, or something.",1632840291072
54,508,589,"No no, If I wanted to be sober, I wouldn’t have gotten drunk.",1632840291073
55,37,939,That just sounds like slavery with extra steps.,1632840291074
56,29,15,"You're like Hitler, except...Hitler cared about Germany, or something.",1632840291075
57,284,29,"No no, If I wanted to be sober, I wouldn’t have gotten drunk.",1632840291076
58,733,847,"Where are my testicles, Summer?",1632840291076
59,61,841,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white.",1632840291077
60,362,74,"Aww, gee, you got me there Rick.",1632840291078
61,285,408,"Uncertainty is inherently unsustainable. Eventually, everything either is or isn't.",1632840291079
62,623,227,"It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal.",1632840291079
63,950,757,"Where are my testicles, Summer?",1632840291080
64,125,360,"Let me out, what you see is not the same person as me. My life's a lie. I'm not who you're looking. Let me out. Set me free. I'm really old. This isn't me. My real body is slowly dieing in a vat. Is anybody listening? Can anyone understand? Stop looking at me like that and actually help me. Help me. Help me I'm gunna die.",1632840291081
65,859,707,"Let me out, what you see is not the same person as me. My life's a lie. I'm not who you're looking. Let me out. Set me free. I'm really old. This isn't me. My real body is slowly dieing in a vat. Is anybody listening? Can anyone understand? Stop looking at me like that and actually help me. Help me. Help me I'm gunna die.",1632840291082
66,936,184,I'm the devil. What should I do when I fail? Give myself an ice cream?,1632840291082
67,91,630,I don't get it and I don't need to.,1632840291083
68,352,816,Pluto's a planet.,1632840291084
69,47,793,So what if the most meaningful day in your life was a simulation operating at minimum complexity.,1632840291084
70,430,491,HI! I'M MR MEESEEKS! LOOK AT ME!,1632840291085
71,201,373,"Listen, I'm not the nicest guy in the universe, because I'm the smartest, and being nice is something stupid people do to hedge their bets.",1632840291086
72,168,702,"Ohh yea, you gotta get schwifty.",1632840291087
73,986,543,So what if the most meaningful day in your life was a simulation operating at minimum complexity.,1632840291087
74,409,239,"Oh yeah, If you think my Rick is Dead, then he is alive. If you think you're safe, then he's coming for you.",1632840291088
75,766,812,HI! I'M MR MEESEEKS! LOOK AT ME!,1632840291089
76,446,335,"Oh yeah, If you think my Rick is Dead, then he is alive. If you think you're safe, then he's coming for you.",1632840291090
77,193,764,"Sometimes science is a lot more art, than science. A lot of people don't get that.",1632840291090
78,666,240,"Go home and drink, grandpa.",1632840291091
79,134,179,"Where are my testicles, Summer?",1632840291092
80,715,354,Having a family doesn't mean that you stop being an individual.,1632840291093
81,734,983,"The first rule of space travel kids is always check out distress beacons. Nine out of ten times it's a ship full of dead aliens and a bunch of free shit! One out of ten times it's a deadly trap, but... I'm ready to roll those dice!",1632840291093
82,303,50,"That's the difference between you and me, Morty. I never go back to the carpet store.",1632840291094
83,814,11,"Sometimes science is a lot more art, than science. A lot of people don't get that.",1632840291095
84,632,563,HI! I'M MR MEESEEKS! LOOK AT ME!,1632840291096
85,586,568,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white.",1632840291096
86,414,619,"What about the reality where Hitler cured cancer, Morty? The answer is: Don't think about it.",1632840291097
87,618,578,I don't get it and I don't need to.,1632840291098
88,76,797,"No no, If I wanted to be sober, I wouldn’t have gotten drunk.",1632840291099
89,12,598,Nobody exists on purpose. Nobody belongs anywhere. Everybody is going to die.,1632840291100
90,274,815,That just sounds like slavery with extra steps.,1632840291100
91,944,586,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid?",1632840291101
