id,room_id,user_id,message,timestamp
1,837,9,HI! I'M MR MEESEEKS! LOOK AT ME!,1633018685994
2,738,996,Don’t even trip dawg.,1633018685998
3,582,961,"Listen, I'm not the nicest guy in the universe, because I'm the smartest, and being nice is something stupid people do to hedge their bets.",1633018685999
4,674,807,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later.",1633018686000
5,775,410,WUBBA LUBBA DUB DUBS!!!,1633018686001
6,530,417,"Meeseeks are not born into this world fumbling for meaning, Jerry! We are created to serve a single purpose, for which we go to any lengths to fulfill.",1633018686002
7,459,466,"No no, If I wanted to be sober, I wouldn’t have gotten drunk.",1633018686002
8,421,842,WUBBA LUBBA DUB DUBS!!!,1633018686003
9,993,542,"I want that Mulan McNugget sauce, Morty!",1633018686005
10,581,69,Don’t even trip dawg.,1633018686005
11,206,142,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain.",1633018686006
12,329,4,This sounds like something The One True Morty might say.,1633018686007
13,597,697,"No no, If I wanted to be sober, I wouldn’t have gotten drunk.",1633018686008
14,891,840,"Where are my testicles, Summer?",1633018686008
15,91,247,"Aw, c'mon Rick. That doesn't seem so bad.",1633018686009
16,181,641,"Go home and drink, grandpa.",1633018686010
17,459,632,I like what you got.,1633018686010
18,46,388,"Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together.",1633018686011
19,971,471,"Hello Jerry, come to rub my face in urine again?",1633018686012
20,39,929,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid?",1633018686014
21,550,434,Weddings are basically funerals with cake.,1633018686014
22,583,475,WUBBA LUBBA DUB DUBS!!!,1633018686015
23,738,881,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid?",1633018686015
24,63,238,"Listen, I'm not the nicest guy in the universe, because I'm the smartest, and being nice is something stupid people do to hedge their bets.",1633018686016
25,86,76,"What is my purpose. You pass butter. Oh My God. Yeah, Welcome to the club pal.",1633018686017
26,51,434,Yo! What up my glip glops!,1633018686017
27,240,213,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later.",1633018686019
28,333,379,Keep Summer safe.,1633018686019
29,856,929,WUBBA LUBBA DUB DUBS!!!,1633018686020
30,83,452,So what if the most meaningful day in your life was a simulation operating at minimum complexity.,1633018686021
31,42,934,WUBBA LUBBA DUB DUBS!!!,1633018686021
32,919,790,"Aw, c'mon Rick. That doesn't seem so bad.",1633018686022
33,143,343,"What is my purpose. You pass butter. Oh My God. Yeah, Welcome to the club pal.",1633018686023
34,982,163,"What is my purpose. You pass butter. Oh My God. Yeah, Welcome to the club pal.",1633018686023
35,291,796,"Aw, c'mon Rick. That doesn't seem so bad.",1633018686024
36,530,215,"I want that Mulan McNugget sauce, Morty!",1633018686024
37,671,475,Pluto's a planet.,1633018686025
38,883,219,I'm more than just a hammer.,1633018686026
39,515,162,Don’t even trip dawg.,1633018686027
40,930,17,"That's the difference between you and me, Morty. I never go back to the carpet store.",1633018686028
41,463,603,"What is my purpose. You pass butter. Oh My God. Yeah, Welcome to the club pal.",1633018686028
42,262,176,Having a family doesn't mean that you stop being an individual.,1633018686029
43,100,31,Can somebody just let me out of here? If I die in a cage I lose a bet.,1633018686030
44,731,414,"That's the difference between you and me, Morty. I never go back to the carpet store.",1633018686030
45,519,924,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain.",1633018686031
46,790,628,"Aww, gee, you got me there Rick.",1633018686032
47,478,642,"It's a figure of speech, Morty! They're bureaucrats! I don't respect them. Just keep shooting, Morty! You have no idea what prison is like here!",1633018686032
48,884,19,"I hate to break it to you, but what people call 'love' is just a chemical reaction that compels animals to breed. It hits hard Morty then it slowly fades leaving you stranded in a failing marriage. I did it. Your parents are going to do it. Break the cycle Morty, rise above, focus on science.",1633018686033
49,965,952,"What about the reality where Hitler cured cancer, Morty? The answer is: Don't think about it.",1633018686034
50,214,686,That just sounds like slavery with extra steps.,1633018686035
51,604,350,"Oh Summer, haha first race war, huh?",1633018686035
52,670,430,"What is my purpose. You pass butter. Oh My God. Yeah, Welcome to the club pal.",1633018686036
53,377,352,"Aw, c'mon Rick. That doesn't seem so bad.",1633018686036
54,994,921,"Traditionally, science fairs are a father/son thing. Well, scientifically, traditions are an idiot thing.",1633018686037
55,813,476,"Where are my testicles, Summer?",1633018686037
56,422,990,"Aww, gee, you got me there Rick.",1633018686038
57,293,717,"Great, now I have to take over an entire planet because of your stupid boobs.",1633018686039
58,52,216,"Where are my testicles, Summer?",1633018686039
59,421,960,"Listen, I'm not the nicest guy in the universe, because I'm the smartest, and being nice is something stupid people do to hedge their bets.",1633018686040
60,686,509,"Where are my testicles, Summer?",1633018686041
61,465,694,Keep Summer safe.,1633018686042
62,173,54,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later.",1633018686042
63,54,305,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white.",1633018686043
64,916,720,"No no, If I wanted to be sober, I wouldn’t have gotten drunk.",1633018686043
65,693,927,"Oh yeah, If you think my Rick is Dead, then he is alive. If you think you're safe, then he's coming for you.",1633018686044
66,437,988,"Hello Jerry, come to rub my face in urine again?",1633018686044
67,667,461,"Traditionally, science fairs are a father/son thing. Well, scientifically, traditions are an idiot thing.",1633018686045
68,669,990,Keep Summer safe.,1633018686046
69,473,790,"Let me out, what you see is not the same person as me. My life's a lie. I'm not who you're looking. Let me out. Set me free. I'm really old. This isn't me. My real body is slowly dieing in a vat. Is anybody listening? Can anyone understand? Stop looking at me like that and actually help me. Help me. Help me I'm gunna die.",1633018686046
70,918,375,"This isn't Game of Thrones, Morty.",1633018686047
71,292,180,WUBBA LUBBA DUB DUBS!!!,1633018686048
72,804,175,Pluto's a planet.,1633018686049
73,83,589,"Listen, I'm not the nicest guy in the universe, because I'm the smartest, and being nice is something stupid people do to hedge their bets.",1633018686049
74,307,864,"Where are my testicles, Summer?",1633018686050
75,124,652,"The first rule of space travel kids is always check out distress beacons. Nine out of ten times it's a ship full of dead aliens and a bunch of free shit! One out of ten times it's a deadly trap, but... I'm ready to roll those dice!",1633018686050
76,282,862,Weddings are basically funerals with cake.,1633018686051
77,968,554,This sounds like something The One True Morty might say.,1633018686052
78,173,253,"Go home and drink, grandpa.",1633018686052
79,718,882,"This isn't Game of Thrones, Morty.",1633018686053
80,625,929,Get off the high road Summer. We all got pink eye because you wouldn't stop texting on the toilet.,1633018686053
81,688,828,"Listen, I'm not the nicest guy in the universe, because I'm the smartest, and being nice is something stupid people do to hedge their bets.",1633018686054
82,844,898,So what if the most meaningful day in your life was a simulation operating at minimum complexity.,1633018686055
